LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_hun,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
הדר עם,191,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,4.4,1,יהודים,99.2,33.7,56.8,9.5,37.5,53.9,8.6,29.6,59.9,10.5,880.5,34,31,37,64,36,66.1,33.9,61.9,38.1,81.9,18.1,40.1,38.1,18.2,3.5,50,4.4,5.2,31.9,8.5,500
הודייה,726,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,310,מושב,36,מועצה אזורית חוף אשקלון,4.4,1,יהודים,95.5,27.6,56,16.4,30.1,55,14.9,24.9,57,18.1,849.5,33,33,33,56.3,43.7,54.7,45.3,57.9,42.1,74.9,25.1,70.3,5.8,20.9,3,38.4,37.1,13.1,9.9,1.4,500
המעפיל,377,1945,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,16,מועצה אזורית עמק חפר,4.6,1,יהודים,98.2,23.4,60.5,16.1,20.1,64.1,15.8,26.2,57.5,16.3,691.2,35,35,36,44.7,55.3,46.9,53.1,42.8,57.2,78.2,21.8,58.9,30.5,7.6,2.9,44.9,7,6.2,34.8,7.3,500
הראל,464,1948,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,330,קיבוץ,26,מועצה אזורית מטה יהודה,1.5,1,יהודים,90,39.8,56.6,3.5,38.8,54.9,6.3,40.7,58.2,1.1,824,27,27,24,46.4,53.6,48.4,51.6,44.6,55.4,80.8,19.2,16.9,60.9,22.2,,46.7,7.2,10.9,20.2,14.9,500
הררית,1203,1980,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,2.6,1,יהודים,96.1,27.9,67.3,4.8,30.3,67.4,2.4,25.5,67.3,7.2,554,36,35,37,55.4,44.6,56.4,43.6,54.4,45.6,84.4,15.6,31.7,52.9,5.3,10.1,49.2,5.7,4.1,33.5,7.5,500
ורד יריחו,3639,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,74,מועצה אזורית מגילות ים-המלח,1.9,1,יהודים,99.2,31.6,67,1.4,33.7,63.6,2.7,29.6,70.4,,593.6,30,32,29,60.4,39.6,63.2,36.8,57.7,42.3,87.5,12.5,48.1,49.5,2.4,,47.7,13.4,18.8,13.8,6.3,500
ורדון,1133,1968,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,35,מועצה אזורית יואב,3,1,יהודים,99.7,39.8,59.5,0.7,39,60.4,0.6,40.9,58.4,0.8,819,23,22,25,62.5,37.5,56.9,43.1,69.4,30.6,90.6,9.4,28.8,10.9,60.3,,51.4,22.8,12.8,11.1,1.9,500
זבדיאל,815,1950,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,34,מועצה אזורית שפיר,4.1,1,יהודים,99.7,28.5,62.3,9.3,27.9,65.5,6.7,29,59.2,11.8,735.5,32,31,32,58.6,41.4,59.1,40.9,58.1,41.9,86.3,13.7,86,2.8,5.5,5.7,45,45.9,7,1.7,0.4,500
זוהר,44,1956,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,310,מושב,50,מועצה אזורית לכיש,3.4,1,יהודים,99.7,25.8,66.6,7.7,26.6,66.7,6.7,24.8,66.4,8.8,601.7,29,28,31,57.7,42.3,55.9,44.1,59.7,40.3,76,24,66.2,21.8,5.1,6.9,33.3,12,50.1,3.4,1.1,500
זיקים,584,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,330,קיבוץ,36,מועצה אזורית חוף אשקלון,3.8,1,יהודים,91.6,28,59.4,12.7,25,63.1,11.9,30.9,55.7,13.4,758.4,33,33,32,56.5,43.5,56.1,43.9,56.9,43.1,77,23,30.7,47.9,20.6,0.9,35.8,5.7,7.3,27.7,23.6,500
זמרת,1065,1957,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,3,1,יהודים,99.7,30.4,56,13.6,32.3,58.1,9.6,28.6,54,17.3,920.5,29,29,30,48.3,51.7,50.9,49.1,46.1,53.9,79.1,20.9,93.7,6.3,,,34.6,1.3,63.8,0.3,,500
זנוח,816,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,4.2,1,יהודים,96.9,31.5,59.4,9.1,30.1,61.4,8.5,33.1,57.2,9.7,782.8,30,32,28,58.6,41.4,54.8,45.2,63,37,78.9,21.1,84.2,12.3,1.1,2.4,35.9,1.8,59.8,2.3,0.3,500
זרועה,2064,1953,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,2.5,1,יהודים,97.9,34.5,57.7,7.8,32.7,61.7,5.6,36.2,53.9,9.8,801.2,28,30,26,51.6,48.4,52.1,47.9,51.1,48.9,83.3,16.7,80.9,16.7,2.5,,44.4,9.2,43,3.3,,500
ח'ואלד,1321,,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",450,יישוב כפרי אחר לא יהודי,12,מועצה אזורית זבולון,3.5,2,מוסלמים,98.6,40.5,54.9,4.6,42.2,52.3,5.5,38.9,57.4,3.7,929.3,25,25,25,57,43,58.5,41.5,55.6,44.4,,,,,,,,,,,,500
חבר,1110,1958,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,8,מועצה אזורית הגלבוע,3.7,1,יהודים,93.4,42.7,54.8,2.5,43.4,53.3,3.3,41.9,56.4,1.7,976.2,23,20,25,63.1,36.9,63.3,36.7,63,37,87,13,13.8,16.9,67,2.3,47,6.7,26,18.4,1.9,500
חגי,3764,1984,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,78,מועצה אזורית הר חברון,4.6,1,יהודים,100,56.6,43.4,,58.5,41.5,,54.5,45.5,,1419.5,13,14,12,77.5,22.5,72.6,27.4,83.3,16.7,91,9,4.8,53,30.5,11.7,59.7,2.3,12.3,15.2,10.4,500
חולדה,160,1930,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,30,מועצה אזורית גזר,3.7,1,יהודים,99.4,26.4,62.8,10.8,29.6,58.9,11.5,23.2,66.6,10.2,615.4,33,33,33,60.4,39.6,63.1,36.9,57.9,42.1,88.3,11.7,49.2,38.4,9.9,2.4,50,9.8,10.1,25.9,4.2,500
חולית,1239,1980,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,1,1,יהודים,87.5,28.7,70.4,0.9,26.9,71.3,1.8,30.5,69.5,,458.9,25,24,29,40,60,37.5,62.5,42.6,57.4,71.2,28.8,10.3,40.4,30.4,18.9,18.6,5.8,16.3,23.1,36.3,500
חולתה,253,1937,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,5,1,יהודים,97.5,18.3,68.2,13.4,19.2,69.2,11.6,17.5,67.3,15.1,510.8,33,33,32,46.9,53.1,49.7,50.3,44.5,55.5,83,17,56.9,23.6,15.6,3.9,52.9,7.7,3.9,30.6,4.9,500
חוקוק,374,1945,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,3.7,1,יהודים,84.3,33.7,54.7,11.6,36,53.4,10.6,31.4,55.9,12.6,871.3,28,26,29,56.7,43.3,56.9,43.1,56.5,43.5,66.3,33.7,23.3,28.6,8.3,39.8,36,4.1,12.4,21.4,26.1,500
חורשים,355,1955,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,20,מועצה אזורית דרום השרון,2.8,1,יהודים,98.7,26.5,65.3,8.3,23.5,64.6,11.9,29.2,65.9,4.9,604.2,34,35,31,44.6,55.4,46.6,53.4,42.7,57.3,82.8,17.2,29.6,56.4,9.7,4.3,35.6,4.6,15.4,33.1,11.2,500
חזון,1047,1969,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,2.8,1,יהודים,100,16.8,79,4.2,16.2,78.1,5.8,17.7,80.1,2.2,322.8,32,29,41,58,42,51,49,67.2,32.8,74.9,25.1,83.5,14.1,2.3,,31.2,2.4,61,5.1,0.3,500
חלוץ,1272,1985,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,3.4,1,יהודים,99.5,43.6,55.3,1.1,47.2,51.7,1.1,40,58.8,1.1,908.4,21,20,24,61.6,38.4,64.4,35.6,59,41,79,21,6.8,49.6,36.7,7,44.1,3.3,7.8,20.8,24.1,500
חלץ,820,1950,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,310,מושב,36,מועצה אזורית חוף אשקלון,4.3,1,יהודים,98.3,29.3,58.5,12.2,28.8,59.7,11.5,29.8,57.3,12.9,817.5,31,35,28,51.1,48.9,48.8,51.2,53.4,46.6,81.5,18.5,95.2,3.3,,1.5,40.8,51.8,6.5,0.4,0.5,500
חמדיה,343,1942,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,3.5,1,יהודים,99.1,27.4,52.2,20.5,25.6,51.5,22.9,29,52.9,18.2,1092.8,30,31,29,52.6,47.4,52.7,47.3,52.4,47.6,80.3,19.7,49.5,32.5,15.7,2.3,48.7,4.3,8.3,31.5,7.2,500
חמדת,3646,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,75,מועצה אזורית ערבות הירדן,1.8,1,יהודים,100,52.5,47.5,,47.9,52.1,,58.9,41.1,,1895.6,13,18,9,70.3,29.7,55,45,96.9,3.1,90.7,9.3,,48.3,26,25.7,58.4,2.9,10.9,11.5,16.3,500
חמרה,3609,1971,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,0.9,1,יהודים,95,13.3,81,5.7,15.7,75.8,8.5,10.4,87.5,2.1,252.7,42,39,52,72.6,27.4,67.2,32.8,79.1,20.9,72.4,27.6,65,28.9,6.1,,34,12.7,15.1,31.2,7,500
חניתה,280,1938,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,4.7,1,יהודים,96.7,20.3,61,18.7,20.2,61.8,18,20.4,60.2,19.4,700.1,38,35,41,49,51,49.1,50.9,48.9,51.1,70.2,29.8,43.6,46.3,8.7,1.4,37.8,3.9,17.1,36,5.1,500
חנתון,1257,1984,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,330,קיבוץ,9,מועצה אזורית עמק יזרעאל,3.3,1,יהודים,99.2,36,62,2.1,38.7,59.7,1.7,33.3,64.3,2.5,661.2,26,26,26,56.3,43.7,59.1,40.9,53.7,46.3,83.8,16.2,,50.7,34.6,14.7,50.6,6.3,11.7,20.1,11.3,500
חפץ חיים,363,1944,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,31,מועצה אזורית נחל שורק,3.5,1,יהודים,100,36.7,54.3,9.1,35.2,56.3,8.5,38.1,52.2,9.7,957,25,26,24,62,38,60.7,39.3,63.5,36.5,89.3,10.7,73.9,26.1,,,61.5,3.1,5.1,24.3,6,500
חפצי-בה,90,1922,2,מחוז הצפון,23,נפת יזרעאל,232,עמק חרוד,,ללא שיוך למטרופולין,330,קיבוץ,8,מועצה אזורית הגלבוע,4,1,יהודים,98.4,20,56.3,23.8,21.8,56.8,21.4,18.2,55.7,26,887.2,42,38,47,51,49,53.6,46.4,48.7,51.3,82,18,59,29.4,6.9,4.8,43.4,4.2,5.8,40.6,6,500
חצבה,13,1965,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,343,"מטרופולין באר שבע, טבעת חיצונית, גזרה דרומית",310,מושב,54,מועצה אזורית הערבה התיכונה,4.4,1,יהודים,97.6,24.1,74.4,1.5,22.6,74.9,2.5,25.7,73.8,0.4,381.6,34,34,33,67.6,32.4,65,35,70.6,29.4,87.8,12.2,48.9,41.7,9.5,,46.4,9.2,12.1,26.7,5.6,500
חצור-אשדוד,406,1937,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,330,קיבוץ,33,מועצה אזורית באר טוביה,4.9,1,יהודים,95.6,23.5,56.5,20,26.9,56.7,16.4,19.9,56.3,23.8,850,40,36,45,52.2,47.8,52.2,47.8,52.2,47.8,66.7,33.3,52.1,32.4,12.7,2.8,32.2,4.5,7.1,37,19.3,500
חרמש,3717,1982,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,1.7,1,יהודים,90.1,27.5,67.7,4.8,27.6,67.9,4.6,27.4,67.5,5.1,584.2,34,28,39,50.8,49.2,39.5,60.5,67.1,32.9,68.5,31.5,16.9,28.5,54.7,,35.1,7.9,9.1,45.2,2.8,500
חרשים,1209,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,2.2,1,יהודים,96.3,28.2,71,0.9,25.2,74,0.8,31.5,67.6,0.9,507,27,26,31,43.8,56.2,39.9,60.1,48.5,51.5,90.8,9.2,4.9,44.8,33.8,16.5,59.2,3.2,3.2,25.3,9.2,500
טללים,1177,1980,6,מחוז הדרום,62,נפת באר שבע,626,הר הנגב הצפוני,333,"מטרופולין באר שבע, טבעת תיכונה, גזרה דרומית",330,קיבוץ,48,מועצה אזורית רמת נגב,3.3,1,יהודים,66.8,40.7,57.4,1.9,40.1,57.5,2.4,41.4,57.3,1.3,841.3,23,24,21,65.4,34.6,62.3,37.7,68.9,31.1,84.7,15.3,3.2,12.5,2.9,81.4,52.5,9.1,21.8,13.3,3.3,500
טפחות,1214,1980,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,4,1,יהודים,100,34.6,64.9,0.5,31.3,68.3,0.4,39.3,60.1,0.6,948.4,20,20,20,46.3,53.7,38.8,61.2,57.5,42.5,93.9,6.1,12.3,25.7,53.8,8.2,61.5,1.3,32,4.7,0.5,500
יד השמונה,1134,1978,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,320,מושב שיתופי,26,מועצה אזורית מטה יהודה,0.9,1,יהודים,64.5,33.1,60.7,6.2,35.8,62.2,2,30.3,59.2,10.5,781.7,27,21,34,52.7,47.3,50,50,55.4,44.6,84,16,40,40,20,,37.9,,3.4,31,27.8,500
יד חנה,758,1950,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,16,מועצה אזורית עמק חפר,2.3,1,יהודים,93.1,16.9,73.7,9.4,18.7,72.8,8.5,15.2,74.5,10.3,378.7,34,34,35,54,46,59.2,40.8,49.3,50.7,67.2,32.8,30.9,18,49.6,1.5,32.9,10.3,9,42.6,5.2,500
יד נתן,775,1953,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,310,מושב,50,מועצה אזורית לכיש,4.7,1,יהודים,99.2,25.1,68.9,6,26,69.1,4.9,24.2,68.6,7.2,522.8,31,30,32,57,43,52.1,47.9,62.8,37.2,82.9,17.1,44.1,38.8,15.6,1.5,45.3,6.7,17.9,23.6,6.5,500
יהל,1158,1976,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,330,קיבוץ,53,מועצה אזורית חבל אילות,1.9,1,יהודים,92.4,31.9,68.1,,32.4,67.6,,31.4,68.6,,555.8,25,25,24,47.4,52.6,49,51,45.7,54.3,79.6,20.4,,57,32,11,36.7,4.9,18.6,20.5,19.3,500
יובל,2009,1952,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,310,מושב,55,מועצה אזורית מבואות החרמון,4.8,1,יהודים,99.1,23.4,70.9,5.8,23.8,70.8,5.4,22.9,71,6.1,468.5,29,29,28,48.8,51.2,45.7,54.3,52.1,47.9,82.9,17.1,80.9,8.8,8.1,2.2,40.2,43.7,9.4,4.9,1.8,500
יודפת,1112,1960,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,,ללא שיוך למטרופולין,320,מושב שיתופי,56,מועצה אזורית משגב,4.6,1,יהודים,96.6,37,58.5,4.5,37.7,57.9,4.4,36.4,58.9,4.7,799.3,27,27,27,55.6,44.4,58.9,41.1,52.7,47.3,90.1,9.9,15,62,11.2,11.7,59.9,3.6,6.8,18.6,11.1,500
יונתן,4007,1976,2,מחוז הצפון,29,נפת גולן,293,גולן תיכוני,,ללא שיוך למטרופולין,320,מושב שיתופי,71,מועצה אזורית גולן,4.4,1,יהודים,97,54,45.8,0.3,42.8,57.2,,61,38.6,0.4,1453,16,22,16,54.5,45.5,73.7,26.3,43.2,56.8,83.2,16.8,3.1,32.4,18.2,46.3,54.7,2.4,13,13.1,16.7,500
יושיביה,803,1950,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,2.9,1,יהודים,98.1,30.4,58.2,11.4,30.5,60.8,8.8,30.3,55.8,13.8,923.1,27,26,28,49,51,52.1,47.9,46.4,53.6,79.7,20.3,92.9,5.4,,1.7,40,8.3,47.1,3.9,0.7,500
יחיעם,409,1946,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,3.6,1,יהודים,96.7,20.4,55.6,24,20.8,58.1,21.1,20,53,26.9,880.5,41,38,47,47.7,52.3,46.5,53.5,48.8,51.2,69.5,30.5,52.4,41.8,3.2,2.5,32.5,5,4,40.8,17.6,500
"ייט""ב",3607,1970,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,320,מושב שיתופי,75,מועצה אזורית ערבות הירדן,1.2,1,יהודים,96.5,38,59.6,2.4,37.7,62.3,,38.3,57.1,4.6,725.3,28,29,27,70.6,29.4,75,25,66.5,33.5,59.4,40.6,,67.9,30.1,2,30.8,3.6,5.4,57.5,2.7,500
יסודות,440,1948,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",320,מושב שיתופי,31,מועצה אזורית נחל שורק,3.9,1,יהודים,100,46.4,42.1,11.5,48.6,42.7,8.7,44.4,41.5,14.1,1580.6,20,19,20,75.7,24.3,79.7,20.3,72.1,27.9,86.1,13.9,77.3,7.4,10.1,5.2,65.4,0.5,0.7,30.3,3.1,500
יסעור,575,1949,2,מחוז הצפון,24,נפת עכו,246,אזור עכו,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,4,מועצה אזורית מטה אשר,4.3,1,יהודים,95,22.1,56.2,21.7,24.1,58.9,17,20.4,53.8,25.8,845.6,39,38,40,49.9,50.1,57,43,44.2,55.8,68.3,31.7,60.5,27.1,9.8,2.6,31.4,7.7,12.9,36.8,11.2,500
יעף,1044,1968,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,18,מועצה אזורית לב השרון,1.2,1,יהודים,100,30.4,66.5,3.1,27.5,68.8,3.7,34,63.7,2.3,748.6,23,23,31,53.7,46.3,47.2,52.8,62.4,37.6,96.9,3.1,66.7,33.3,,,61.2,7.1,14.8,16.9,,500
יפית,3566,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,1.1,1,יהודים,96.9,36.8,60.5,2.6,39.1,57,3.9,35,63.4,1.6,699.1,31,31,32,59.7,40.3,70.8,29.2,51.6,48.4,62.2,37.8,7.2,81.5,11.3,,29.7,5.7,31.2,32.7,0.7,500
יפתח,453,1948,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,4.8,1,יהודים,95.3,22.8,67.6,9.6,24.5,65.6,9.9,21,69.8,9.2,553.1,30,29,32,51.5,48.5,51.2,48.8,51.9,48.1,82,18,25.7,23.7,23,27.7,49.3,4,9.3,26.5,10.9,500
יראון,623,1949,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,4.4,1,יהודים,93,24.6,64.4,11,23.3,66.2,10.5,26,62.4,11.6,640.8,28,25,34,43.5,56.5,41.3,58.7,46,54,82.4,17.6,35.2,31,19.9,13.8,48.6,12.8,9.9,22.6,6.1,500
ירדנה,2026,1952,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,310,מושב,7,מועצה אזורית עמק המעיינות,3.2,1,יהודים,99.4,27.6,63,9.4,28.8,62.2,9,26.4,63.8,9.8,695.1,31,32,31,55.3,44.7,54.9,45.1,55.7,44.3,81.2,18.8,86.1,7.8,4.5,1.6,38.2,53.6,6.5,1.4,0.3,500
ירקונה,183,1932,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,20,מועצה אזורית דרום השרון,3.9,1,יהודים,99.7,33.8,56.6,9.6,33.1,57,9.9,34.5,56.2,9.4,842,34,34,34,66.5,33.5,65.3,34.7,67.6,32.4,90,10,41.8,31.3,20.1,6.8,58.5,4.1,8.9,24.6,3.9,500
ישע,916,1957,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,38,מועצה אזורית אשכול,2.7,1,יהודים,98.2,26.8,62.6,10.7,27,62,11,26.5,63.2,10.3,664.1,32,32,33,65.6,34.4,62.3,37.7,69.1,30.9,79.2,20.8,78.5,15.3,,6.2,41.1,6.6,34.3,17.6,0.4,500
כורזים,1252,1983,2,מחוז הצפון,21,נפת צפת,213,אזור חצור,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,55,מועצה אזורית מבואות החרמון,3.8,1,יהודים,97.6,24.1,68.6,7.4,19.7,70,10.4,28,67.3,4.7,529.8,38,40,36,56.8,43.2,57.9,42.1,55.8,44.2,80.5,19.5,44.5,45,7.5,3,42.5,9.1,10.7,29.2,8.5,500
כחל,1210,1980,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,55,מועצה אזורית מבואות החרמון,2.8,1,יהודים,98.9,28.3,71.7,,29.1,70.9,,27.5,72.5,,513,29,27,31,54.9,45.1,54.7,45.3,55,45,91.3,8.7,65.6,30.6,3.8,,50.3,12.4,15.4,18.9,3,500
כיסופים,840,1951,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,1.7,1,יהודים,96.8,14.6,58.3,27.1,16.2,57.3,26.5,12.9,59.3,27.7,821.8,49,50,49,50.9,49.1,51.7,48.3,50.2,49.8,56,44,53.1,30.3,11.5,5.1,21.4,9.1,8.2,24.8,36.6,500
כליל,1183,1979,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,4,מועצה אזורית מטה אשר,3.6,1,יהודים,95.2,39.9,58.2,1.8,44.6,53.2,2.2,34.5,64.2,1.3,818.6,24,22,30,41.2,58.8,41.9,58.1,40.4,59.6,89,11,26,48.5,19.8,5.7,55,3.7,9.3,21.6,10.4,500
כלנית,1229,1981,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,1.8,1,יהודים,100,27.3,72.1,0.5,26.1,73,0.9,28.9,71.1,,517.6,24,23,25,52.3,47.7,46.3,53.7,60.3,39.7,98.4,1.6,100,,,,62.1,1.5,35,1,0.4,500
כמהין,1291,1988,6,מחוז הדרום,62,נפת באר שבע,626,הר הנגב הצפוני,333,"מטרופולין באר שבע, טבעת תיכונה, גזרה דרומית",310,מושב,48,מועצה אזורית רמת נגב,1.3,1,יהודים,89.7,46.3,53.7,,46.5,53.5,,46.2,53.8,,863.8,26,27,26,82,18,76.7,23.3,88.1,11.9,92.4,7.6,,80.9,19.1,,64.3,7.7,10,14.3,3.7,500
כנף,4028,1991,2,מחוז הצפון,29,נפת גולן,293,גולן תיכוני,,ללא שיוך למטרופולין,310,מושב,71,מועצה אזורית גולן,3.2,1,יהודים,99.4,47.6,52.4,,41.1,58.9,,52.8,47.2,,1093.6,18,30,17,68.4,31.6,70.3,29.7,66.7,33.3,95,5,,74.2,25.8,,62.9,7,12.7,12.6,4.9,500
