מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,מודיעין-מכבים-רעות*,,2,24,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,8.3,4.2,4.1,,1,יהודים,98.5,,44.3,53.2,2.5,46.3,50.9,2.8,42.2,55.6,2.2,913.3,28.0,26.0,28.0,83.1,16.9,84.6,15.4,81.6,18.4,87.3,12.7,19.4,32.9,35.8,11.9,54.5,9.6,12.5,18.5,4.9
1276,מודיעין-מכבים-רעות*,,3,,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,8.2,4.1,4.1,,1,יהודים,99.5,,51.0,47.7,1.3,51.7,47.0,1.3,50.4,48.4,1.2,1150.6,16.0,15.0,17.0,81.3,18.7,82.6,17.4,80.0,20.0,81.5,18.5,7.0,23.9,28.4,40.7,49.5,6.8,9.7,19.2,14.8
1277,מודיעין-מכבים-רעות*,,3,33,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.4,2.7,2.7,,1,יהודים,99.6,,51.2,47.6,1.2,51.8,47.0,1.2,50.5,48.3,1.1,1163.0,16.0,16.0,17.0,78.9,21.1,79.7,20.3,78.1,21.9,82.8,17.2,6.8,24.8,29.3,39.2,50.9,7.0,9.2,18.9,14.0
1278,מודיעין-מכבים-רעות*,,3,34,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.8,1.4,1.4,,1,יהודים,99.3,,50.8,47.8,1.4,51.5,47.0,1.5,50.1,48.6,1.3,1127.5,16.0,15.0,17.0,85.9,14.1,88.2,11.8,83.7,16.3,79.0,21.0,7.3,22.6,27.0,43.1,46.8,6.4,10.5,19.9,16.4
1279,מודיעין-מכבים-רעות*,,4,,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,9.4,4.8,4.6,,1,יהודים,99.9,,26.4,72.2,1.4,26.8,71.6,1.6,26.1,72.8,1.1,527.9,28.0,27.0,30.0,54.8,45.2,54.2,45.8,55.6,44.4,87.3,12.7,28.2,51.6,15.4,4.8,49.7,8.8,9.9,26.6,5.1
1280,מודיעין-מכבים-רעות*,,4,41,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.3,1.7,1.6,,1,יהודים,99.8,,26.9,72.2,0.9,26.9,72.0,1.1,26.9,72.4,0.7,521.6,26.0,26.0,27.0,53.6,46.4,53.0,47.0,54.3,45.7,88.4,11.6,21.8,59.6,15.6,3.0,51.2,9.6,9.8,24.7,4.7
1281,מודיעין-מכבים-רעות*,,4,42,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.3,1.7,1.6,,1,יהודים,99.9,,28.4,71.0,0.7,29.2,70.0,0.8,27.5,72.0,0.6,556.3,28.0,26.0,30.0,56.0,44.0,55.5,44.5,56.5,43.5,87.9,12.1,26.8,52.4,13.2,7.5,48.9,9.5,12.5,24.5,4.5
1282,מודיעין-מכבים-רעות*,,4,43,1200,1986,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.8,1.4,1.4,,1,יהודים,99.9,,23.6,73.7,2.7,23.8,73.1,3.1,23.3,74.4,2.3,502.8,31.0,28.0,37.0,55.0,45.0,54.0,46.0,56.0,44.0,85.3,14.7,35.7,43.2,17.3,3.9,48.8,7.1,6.8,31.2,6.1
1283,מוקייבלה,,,,635,,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,290,"יישוב לא יהודי 4,999-2,000 תושבים",8,מועצה אזורית הגלבוע,,3.1,1.6,1.6,,2,מוסלמים,95.7,,48.3,49.2,2.5,49.5,48.6,1.9,47.0,49.8,3.2,1201.5,18.0,18.0,19.0,60.0,40.0,59.4,40.6,60.5,39.5,,,,,,,,,,,
1284,מזכרת בתיה,,,,28,1883,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,7.4,8.9,4.4,4.5,1193.4,1,יהודים,98.9,1.3,35.1,59.9,5.0,35.9,59.4,4.8,34.4,60.4,5.3,772.2,30.0,29.0,31.0,62.6,37.4,63.3,36.7,61.9,38.1,82.1,17.9,27.1,39.1,30.6,3.2,45.6,9.5,18.5,22.3,4.1
1285,מזרעה,,,,517,,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",290,"יישוב לא יהודי 4,999-2,000 תושבים",99,מועצה מקומית,0.5,3.4,1.8,1.6,7085.9,2,מוסלמים,96.8,,35.2,58.7,6.1,35.3,59.4,5.2,35.1,57.9,7.0,835.9,25.0,24.0,27.0,57.2,42.8,55.8,44.2,58.7,41.3,,,,,,,,,,,
1286,מיתר,,,,1268,1984,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,322,"מטרופולין באר שבע, טבעת פנימית, גזרה מזרחית",180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,39.2,6.1,3.1,3.0,154.6,1,יהודים,99.0,,34.1,58.8,7.0,34.8,57.5,7.7,33.4,60.2,6.3,810.8,32.0,31.0,34.0,67.1,32.9,67.1,32.9,67.2,32.8,78.3,21.7,41.3,43.4,11.6,3.7,40.2,7.9,21.9,23.6,6.5
1287,מסעדה,,,,4203,,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,290,"יישוב לא יהודי 4,999-2,000 תושבים",99,מועצה מקומית,12,3.0,1.5,1.5,252.0,5,דרוזים,99.9,,37.2,58.6,4.2,37.3,58.7,4.0,37.1,58.4,4.5,798.7,25.0,26.0,25.0,60.8,39.2,59.6,40.4,62.0,38.0,,,,,,,,,,,
1288,מעיליא,,,,518,,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,290,"יישוב לא יהודי 4,999-2,000 תושבים",99,מועצה מקומית,1.5,2.8,1.4,1.4,1914.4,3,נוצרים,99.0,,30.6,57.0,12.4,32.9,55.0,12.1,28.2,59.0,12.8,867.5,32.0,31.0,32.0,62.8,37.2,63.7,36.3,61.9,38.1,,,,,,,,,,,
1289,מעלה אדומים,,,,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,33.6,16.5,17.0,,1,יהודים,96.8,1.6,36.6,57.7,5.8,37.3,57.5,5.2,35.8,57.9,6.3,850.1,26.0,25.0,27.0,59.2,40.8,61.2,38.8,57.4,42.6,78.2,21.8,15.3,25.0,48.2,11.5,46.3,13.5,15.6,19.1,5.5
1290,מעלה אדומים,,,1+2+3,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,6.0,2.9,3.0,,1,יהודים,98.4,,43.3,53.6,3.1,43.6,53.1,3.3,43.0,54.1,2.9,933.5,25.0,25.0,25.0,72.6,27.4,74.6,25.4,70.6,29.4,87.6,12.4,23.1,29.3,40.4,7.2,55.8,13.5,16.4,12.3,2.0
1291,מעלה אדומים,,,4,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.3,1.7,1.6,,1,יהודים,99.4,,39.0,57.5,3.5,38.2,58.7,3.2,39.9,56.3,3.8,947.9,21.0,21.0,22.0,57.4,42.6,54.0,46.0,61.2,38.8,73.8,26.2,8.6,34.4,31.5,25.5,39.8,7.5,9.3,16.8,26.6
1292,מעלה אדומים,,,5,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.1,2.0,2.1,,1,יהודים,91.8,,30.2,60.0,9.8,32.1,59.0,8.8,28.4,60.9,10.7,768.8,30.0,28.0,33.0,54.2,45.8,58.1,41.9,50.8,49.2,58.3,41.7,7.8,21.0,55.6,15.6,29.6,10.6,17.4,36.8,5.6
1293,מעלה אדומים,,,6,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.4,1.1,1.2,,1,יהודים,93.8,,27.3,63.7,9.0,29.0,62.6,8.4,25.7,64.8,9.5,644.6,29.0,28.0,32.0,52.5,47.5,55.4,44.6,49.8,50.2,67.3,32.7,11.4,15.3,57.1,16.2,39.2,13.1,18.1,25.9,3.8
1294,מעלה אדומים,,,7,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.2,2.0,2.2,,1,יהודים,96.9,,33.0,60.8,6.2,31.9,62.3,5.9,34.0,59.5,6.5,757.6,27.0,27.0,27.0,53.7,46.3,56.4,43.6,51.2,48.8,77.5,22.5,21.2,26.1,44.6,8.1,43.1,15.9,14.8,21.5,4.6
1295,מעלה אדומים,,,8,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.4,2.8,2.7,,1,יהודים,97.6,,35.4,60.9,3.7,37.0,59.6,3.5,33.8,62.3,3.8,778.2,26.0,25.0,27.0,58.2,41.8,59.0,41.0,57.4,42.6,83.3,16.7,21.0,27.2,46.7,5.2,49.9,16.5,16.4,15.1,2.2
1296,מעלה אדומים,,,9,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.6,2.2,2.4,,1,יהודים,98.0,,38.2,55.4,6.5,39.6,55.0,5.4,36.8,55.7,7.6,938.5,25.0,23.0,27.0,60.4,39.6,62.9,37.1,58.0,42.0,81.8,18.2,15.6,21.8,58.6,3.9,51.3,13.7,15.2,17.4,2.4
1297,מעלה אדומים,,,10,3616,1975,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.6,1.7,1.8,,1,יהודים,97.0,,40.2,52.4,7.3,41.0,52.9,6.1,39.5,52.0,8.5,1013.2,25.0,25.0,26.0,59.8,40.2,63.7,36.3,56.2,43.8,82.9,17.1,22.2,27.6,45.1,5.1,51.0,15.0,16.7,14.5,2.8
1298,מעלה עירון,,,,1327,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,6.3,12.6,6.3,6.3,2013.8,2,מוסלמים,99.8,,44.9,51.9,3.2,45.1,51.7,3.2,44.6,52.2,3.2,1073.4,20.0,20.0,20.0,63.3,36.7,62.0,38.0,64.6,35.4,,,,,,,,,,,
1299,מעלה עירון,,,1,1327,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,1.6,0.8,0.7,,2,מוסלמים,99.9,,49.8,48.1,2.1,49.3,48.4,2.3,50.3,47.7,2.0,1232.3,18.0,18.0,17.0,62.5,37.5,55.9,44.1,69.9,30.1,,,,,,,,,,,
1300,מעלה עירון,,,2,1327,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.0,2.0,2.0,,2,מוסלמים,99.8,,45.0,51.3,3.7,45.5,50.9,3.6,44.6,51.7,3.8,1103.6,20.0,20.0,20.0,63.2,36.8,63.2,36.8,63.2,36.8,,,,,,,,,,,
1301,מעלה עירון,,,3,1327,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.1,1.6,1.6,,2,מוסלמים,99.9,,45.3,51.6,3.1,45.2,51.3,3.4,45.4,51.9,2.7,1071.1,20.0,20.0,20.0,61.8,38.2,61.6,38.4,62.1,37.9,,,,,,,,,,,
1302,מעלה עירון,,,4,1327,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.9,2.0,1.9,,2,מוסלמים,99.7,,42.5,54.4,3.2,43.0,54.0,2.9,41.9,54.7,3.4,990.0,22.0,22.0,22.0,64.7,35.3,63.3,36.7,66.0,34.0,,,,,,,,,,,
1303,מעלות-תרשיחא,,,,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,9.1,20.6,10.3,10.3,2264.2,1,יהודים,71.0,3.1,28.3,60.9,10.8,29.2,61.6,9.2,27.4,60.3,12.4,743.4,32.0,30.0,34.0,56.6,43.4,57.3,42.7,55.9,44.1,55.2,44.8,9.4,12.2,74.3,4.0,25.3,3.6,23.5,45.1,2.5
1304,מעלות-תרשיחא,,,1,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.6,1.8,1.8,,1,יהודים,77.3,,36.6,60.1,3.3,36.6,60.7,2.7,36.6,59.5,3.9,740.0,29.0,29.0,29.0,66.0,34.0,66.6,33.4,65.3,34.7,68.1,31.9,6.4,16.3,76.5,0.8,32.1,4.0,22.2,39.1,2.6
1305,מעלות-תרשיחא,,,3,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.2,2.0,2.1,,1,יהודים,79.7,,23.9,62.2,14.0,25.9,61.9,12.2,22.0,62.4,15.6,680.5,37.0,36.0,39.0,59.1,40.9,62.4,37.6,56.2,43.8,37.3,62.7,2.1,4.8,90.9,2.2,13.8,1.1,13.7,70.1,1.3
1306,מעלות-תרשיחא,,,4,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.1,2.7,2.3,,1,יהודים,92.1,,32.3,62.9,4.8,31.7,64.1,4.3,33.0,61.5,5.5,759.0,25.0,23.0,27.0,53.9,46.1,50.0,50.0,58.7,41.3,73.9,26.1,23.2,24.7,46.4,5.7,38.4,5.1,28.2,23.8,4.5
1307,מעלות-תרשיחא,,,5,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.5,2.2,2.4,,1,יהודים,83.6,,18.7,59.1,22.2,21.4,60.0,18.6,16.3,58.2,25.5,779.0,42.0,37.0,47.0,47.1,52.9,50.8,49.2,44.0,56.0,38.4,61.6,10.0,10.8,73.2,6.0,14.1,3.6,27.2,53.9,1.1
1308,מעלות-תרשיחא,,,6,1063,1957,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.2,1.6,1.6,,3,נוצרים,49.6,,31.9,59.9,8.2,31.3,60.3,8.4,32.6,59.5,7.9,758.4,29.0,29.0,29.0,62.9,37.1,63.2,36.8,62.6,37.4,,,,,,,,,,,
1309,מצפה רמון,,,,99,1954,6,מחוז הדרום,62,נפת באר שבע,626,הר הנגב הצפוני,343,"מטרופולין באר שבע, טבעת חיצונית, גזרה דרומית",190,"יישוב יהודי 4,999-2,000 תושבים",99,מועצה מקומית,76.8,4.8,2.6,2.2,62.4,1,יהודים,88.9,9.1,37.5,55.6,7.0,39.6,55.1,5.3,34.9,56.1,9.0,965.4,24.0,21.0,27.0,49.5,50.5,45.9,54.1,53.7,46.3,73.7,26.3,9.9,24.3,62.8,2.9,42.2,7.7,18.7,27.5,3.9
1310,מרכז שפירא,,,,1098,1948,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,190,"יישוב יהודי 4,999-2,000 תושבים",34,מועצה אזורית שפיר,,2.1,1.3,0.8,,1,יהודים,99.7,23.6,44.4,52.5,3.1,48.9,48.2,2.9,37.1,59.3,3.6,1128.2,20.0,18.0,24.0,51.6,48.4,40.7,59.3,71.3,28.7,86.0,14.0,31.4,32.5,19.9,16.2,50.3,10.2,19.4,14.3,5.8
1311,משהד,,,,520,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,280,"יישוב לא יהודי 9,999-5,000 תושבים",99,מועצה מקומית,7.3,6.9,3.5,3.4,944.1,2,מוסלמים,99.9,,45.1,51.5,3.4,45.6,51.9,2.5,44.5,51.2,4.3,1110.4,20.0,19.0,20.0,55.8,44.2,55.2,44.8,56.4,43.6,,,,,,,,,,,
1312,מתן,,,,1315,1995,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",190,"יישוב יהודי 4,999-2,000 תושבים",20,מועצה אזורית דרום השרון,,3.4,1.7,1.7,,1,יהודים,99.0,,45.0,52.8,2.2,46.2,51.4,2.4,43.7,54.3,2.0,1014.8,22.0,20.0,26.0,68.5,31.5,68.5,31.5,68.6,31.4,90.5,9.5,18.0,41.8,36.0,4.2,57.6,11.4,8.3,19.2,3.5
1313,נהרייה,,,,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,10.9,51.3,25.1,26.2,4682.0,1,יהודים,90.7,2.9,26.1,60.4,13.5,27.3,61.1,11.6,25.0,59.7,15.3,734.6,34.0,34.0,35.0,55.7,44.3,57.8,42.2,53.7,46.3,63.6,36.4,29.2,29.0,37.2,4.5,28.0,9.0,22.8,37.3,2.8
1314,נהרייה,,1,,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,8.4,4.1,4.3,,1,יהודים,88.9,,26.0,61.4,12.6,27.3,62.4,10.3,24.7,60.5,14.8,706.5,35.0,33.0,36.0,51.8,48.2,53.6,46.4,50.0,50.0,64.7,35.3,29.5,30.8,33.2,6.5,28.2,9.0,26.3,34.1,2.4
1315,נהרייה,,1,13,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.5,2.7,2.8,,1,יהודים,87.5,,26.2,62.5,11.2,27.6,63.0,9.4,24.9,62.1,13.0,671.1,35.0,34.0,36.0,53.8,46.2,55.8,44.2,52.0,48.0,65.7,34.3,31.2,28.1,31.5,9.3,28.9,8.3,21.9,37.6,3.3
1316,נהרייה,,1,14,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,91.6,,25.5,59.3,15.1,26.8,61.2,12.0,24.3,57.5,18.2,777.1,35.0,33.0,38.0,48.1,51.9,49.7,50.3,46.5,53.5,63.0,37.0,26.9,35.3,36.0,1.8,26.8,10.2,34.3,27.8,0.9
1317,נהרייה,,2,,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,14.9,7.4,7.5,,1,יהודים,88.3,,26.4,61.0,12.6,27.6,62.0,10.5,25.3,60.1,14.6,714.0,33.0,32.0,33.0,53.9,46.1,54.8,45.2,53.0,47.0,60.4,39.6,19.7,25.1,50.9,4.4,26.6,11.7,20.5,39.2,2.1
1318,נהרייה,,2,21,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.0,2.5,2.6,,1,יהודים,89.4,,24.4,61.1,14.4,25.3,62.7,12.0,23.6,59.6,16.8,733.1,36.0,34.0,38.0,49.8,50.2,51.2,48.8,48.5,51.5,57.1,42.9,17.4,32.2,46.8,3.5,23.3,12.8,24.1,38.9,1.0
1319,נהרייה,,2,22,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,1.8,0.8,1.0,,1,יהודים,81.6,,15.6,64.6,19.8,17.2,67.9,15.0,14.3,61.8,24.0,595.4,32.0,29.0,35.0,36.9,63.1,37.6,62.4,36.4,63.6,51.0,49.0,21.6,13.4,60.2,4.8,23.4,10.0,21.5,43.2,1.9
1320,נהרייה,,2,23,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.6,2.3,2.3,,1,יהודים,87.0,,35.6,58.3,6.1,37.2,57.2,5.5,34.0,59.4,6.6,758.3,30.0,31.0,30.0,68.8,31.2,69.3,30.7,68.2,31.8,66.6,33.4,8.5,20.9,64.0,6.6,31.6,5.7,17.1,42.0,3.6
1321,נהרייה,,2,24,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.4,1.7,1.7,,1,יהודים,92.1,,22.6,62.6,14.8,22.8,64.5,12.6,22.4,60.7,16.9,695.9,35.0,33.0,38.0,52.8,47.2,52.6,47.4,52.9,47.1,61.7,38.3,34.5,25.4,37.2,2.9,26.4,18.7,19.1,34.1,1.8
1322,נהרייה,,3,,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,14.3,6.8,7.5,,1,יהודים,92.6,,23.4,57.1,19.6,24.4,58.2,17.4,22.4,56.0,21.6,840.4,39.0,38.0,41.0,54.8,45.2,58.8,41.2,51.3,48.7,58.8,41.2,38.7,28.7,28.5,4.1,25.2,7.7,21.6,41.8,3.7
1323,נהרייה,,3,31,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.0,2.0,2.1,,1,יהודים,94.1,,26.1,59.5,14.4,26.1,59.8,14.0,26.0,59.2,14.8,761.0,37.0,37.0,37.0,58.9,41.1,61.1,38.9,56.8,43.2,65.0,35.0,33.7,33.4,29.5,3.4,28.7,8.7,20.8,38.6,3.2
1324,נהרייה,,3,32,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.3,2.0,2.2,,1,יהודים,92.6,,25.1,57.2,17.7,25.5,58.3,16.2,24.7,56.2,19.1,838.6,38.0,38.0,38.0,54.7,45.3,57.9,42.1,51.8,48.2,60.6,39.4,38.6,27.1,29.1,5.2,26.2,8.1,18.9,43.4,3.5
1325,נהרייה,,3,33,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.2,1.5,1.7,,1,יהודים,91.5,,21.4,54.1,24.5,23.5,55.8,20.7,19.6,52.6,27.8,943.0,43.0,40.0,45.0,50.6,49.4,56.1,43.9,45.9,54.1,52.8,47.2,44.0,29.5,22.1,4.4,21.4,6.7,24.4,43.1,4.5
1326,נהרייה,,3,34,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.8,1.3,1.5,,1,יהודים,91.9,,19.1,56.6,24.3,21.0,58.4,20.6,17.4,55.0,27.6,852.0,43.0,40.0,47.0,54.4,45.6,60.1,39.9,49.6,50.4,53.9,46.1,38.3,24.5,33.9,3.3,22.6,6.9,23.8,42.9,3.8
1327,נהרייה,,4,,9100,1934,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,13.7,6.8,6.9,,1,יהודים,92.3,,28.8,62.5,8.7,30.0,62.2,7.7,27.7,62.7,9.6,672.7,33.0,32.0,34.0,61.0,39.0,62.5,37.5,59.6,40.4,71.1,28.9,28.4,33.7,33.8,4.0,32.5,7.6,24.4,32.6,2.9
